Task,Compression Method,Parameter,Value
Defect Prediction,No One,Avg Inference Time CUDA,0.01
Defect Prediction,Distillation (distilbert),Avg Inference Time CUDA,0.005
Defect Prediction,Quantization  (quanto-qfloat8),Avg Inference Time CUDA,0.021
Defect Prediction,Quantization (quanto-qint8),Avg Inference Time CUDA,0.019
Defect Prediction,Quantization (quanto-qint4),Avg Inference Time CUDA,0.03
Defect Prediction,Pruning 0.6,Avg Inference Time CUDA,0.011
Defect Prediction,Pruning 0.4,Avg Inference Time CUDA,0.011
Defect Prediction,Pruning 0.2,Avg Inference Time CUDA,0.014
Defect Prediction,No One,Avg Inference Time CPU,15.439
Defect Prediction,Distillation (distilbert),Avg Inference Time CPU,9.068
Defect Prediction,Quantization (quanto-qfloat8),Avg Inference Time CPU,25.321
Defect Prediction,Quantization (quanto-qint8),Avg Inference Time CPU,31.464
Defect Prediction,Quantization (quanto-qint4),Avg Inference Time CPU,35.979
Defect Prediction,Pruning 0.6,Avg Inference Time CPU,5.824
Defect Prediction,Pruning 0.4,Avg Inference Time CPU,18.815
Defect Prediction,Pruning 0.2,Avg Inference Time CPU,18.451
Defect Prediction,No One,Median Inference Time CUDA,0.011143
Defect Prediction,Distillation (distilbert),Median Inference Time CUDA,0.005575
Defect Prediction,Quantization (quanto-qfloat8),Median Inference Time CUDA,0.021454
Defect Prediction,Quantization (quanto-qint8),Median Inference Time CUDA,0.022159
Defect Prediction,Quantization (quanto-qint4),Median Inference Time CUDA,0.032724
Defect Prediction,Pruning 0.6,Median Inference Time CUDA,0.011871
Defect Prediction,Pruning 0.4,Median Inference Time CUDA,0.011338
Defect Prediction,Pruning 0.2,Median Inference Time CUDA,0.011723
Defect Prediction,No One,Median Inference Time CPU,15.902356
Defect Prediction,Distillation (distilbert),Median Inference Time CPU,9.122519
Defect Prediction,Quantization (quanto-qfloat8),Median Inference Time CPU,23.373236
Defect Prediction,Quantization (quanto-qint8),Median Inference Time CPU,33.897889
Defect Prediction,Quantization (quanto-qint4),Median Inference Time CPU,41.683454
Defect Prediction,Pruning 0.6,Median Inference Time CPU,5.585062
Defect Prediction,Pruning 0.4,Median Inference Time CPU,18.828698
Defect Prediction,Pruning 0.2,Median Inference Time CPU,18.380598
Defect Prediction,No One,Model Size,498.658348
Defect Prediction,Distillation (distilbert),Model Size,255.44
Defect Prediction,Quantization (quanto-qfloat8),Model Size,242.538956
Defect Prediction,Quantization (quanto-qint8),Model Size,242.5387
Defect Prediction,Quantization (quanto-qint4),Model Size,202.830864
Defect Prediction,Pruning 0.6,Model Size,498.655532
Defect Prediction,Pruning 0.4,Model Size,498.655532
Defect Prediction,Pruning 0.2,Model Size,498.655532
Defect Prediction,No One,Accuracy,0.63
Defect Prediction,Distillation (distilbert),Accuracy,0.616
Defect Prediction,Quantization (quanto-qfloat8),Accuracy,0.63
Defect Prediction,Quantization (quanto-qint8),Accuracy,0.627
Defect Prediction,Quantization (quanto-qint4),Accuracy,0.62
Defect Prediction,Pruning 0.6,Accuracy,0.593
Defect Prediction,Pruning 0.4,Accuracy,0.584
Defect Prediction,Pruning 0.2,Accuracy,0.602
Defect Prediction,No One,F1,0.541
Defect Prediction,No One,MCC,0.247
Defect Prediction,Distillation (distilbert),F1,0.558
Defect Prediction,Distillation (distilbert),MCC,0.222
Defect Prediction,Quantization (quanto-qfloat8),F1,0.535
