03/26/2025 01:44:25 - WARNING - __main__ -   Process rank: -1, device: cpu, n_gpu: 1, distributed training: False, 16-bits training: False
03/26/2025 01:44:25 - DEBUG - urllib3.connectionpool -   Starting new HTTPS connection (1): huggingface.co:443
03/26/2025 01:44:26 - DEBUG - urllib3.connectionpool -   https://huggingface.co:443 "HEAD /microsoft/graphcodebert-base/resolve/main/config.json HTTP/11" 200 0
03/26/2025 01:44:26 - DEBUG - urllib3.connectionpool -   https://huggingface.co:443 "HEAD /roberta-base/resolve/main/tokenizer_config.json HTTP/11" 200 0
03/26/2025 01:44:26 - DEBUG - urllib3.connectionpool -   https://huggingface.co:443 "HEAD /microsoft/graphcodebert-base/resolve/main/model.safetensors HTTP/11" 404 0
Some weights of RobertaModel were not initialized from the model checkpoint at microsoft/graphcodebert-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
03/26/2025 01:44:27 - INFO - __main__ -   Training/evaluation parameters Namespace(train_data_file='../dataset/train.jsonl', output_dir='./saved_models_graph', eval_data_file='../dataset/valid.jsonl', test_data_file='../dataset/test.jsonl', model_type='roberta', model_name_or_path='microsoft/graphcodebert-base', mlm=False, mlm_probability=0.15, config_name='microsoft/graphcodebert-base', tokenizer_name='roberta-base', cache_dir='', block_size=256, do_train=False, do_eval=True, do_test=True, evaluate_during_training=True, do_lower_case=False, train_batch_size=32, eval_batch_size=64, gradient_accumulation_steps=1, learning_rate=5e-05, weight_decay=0.0, adam_epsilon=1e-08, max_grad_norm=1.0, num_train_epochs=1.0, max_steps=-1, warmup_steps=0, logging_steps=50, save_steps=50, save_total_limit=None, eval_all_checkpoints=False, no_cuda=False, overwrite_output_dir=False, overwrite_cache=False, seed=123456, epoch=2, fp16=False, fp16_opt_level='O1', local_rank=-1, server_ip='', server_port='', quantize=False, quantize4=False, quantizef8=True, prune=False, prune4=False, prune6=False, job_id='487130', n_gpu=1, device=device(type='cpu'), per_gpu_train_batch_size=32, per_gpu_eval_batch_size=64, start_epoch=0, start_step=0)
03/26/2025 01:44:28 - INFO - __main__ -   ************ Apply Quantization qfloat8 *****************
03/26/2025 01:44:30 - INFO - __main__ -   ********** Calibrate **********
03/26/2025 03:55:16 - INFO - __main__ -   Size (MB): 242.526826
03/26/2025 03:55:30 - INFO - __main__ -   ***** Running evaluation *****
03/26/2025 03:55:30 - INFO - __main__ -     Num examples = 9604
03/26/2025 03:55:30 - INFO - __main__ -     Batch size = 64
03/26/2025 04:22:25 - INFO - __main__ -   ***** Eval results *****
03/26/2025 04:22:25 - INFO - __main__ -     eval_loss = 1.1125
03/26/2025 04:22:25 - INFO - __main__ -     eval_mrr = 0.4268
03/26/2025 04:22:26 - INFO - __main__ -   Size (MB): 242.526826
03/26/2025 04:22:53 - INFO - __main__ -   ***** Running Test *****
03/26/2025 04:22:53 - INFO - __main__ -     Num examples = 19210
03/26/2025 04:22:53 - INFO - __main__ -     Batch size = 64
03/26/2025 04:22:53 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:01 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:09 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:17 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:26 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:34 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:42 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:50 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:23:58 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:06 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:14 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:23 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:31 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:39 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:47 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:24:55 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:03 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:11 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:20 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:28 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:36 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:44 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:25:52 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:00 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:08 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:15 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:23 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:32 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:39 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:48 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:26:56 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:04 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:12 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:20 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:28 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:36 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:44 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:27:52 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:00 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:09 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:16 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:25 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:33 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:41 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:49 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:28:57 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:05 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:13 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:21 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:29 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:37 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:45 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:29:53 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:01 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:09 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:17 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:26 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:34 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:42 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:50 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:30:58 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:06 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:15 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:23 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:31 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:39 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:47 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:31:55 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:03 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:11 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:20 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:28 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:36 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:45 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:32:53 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:01 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:10 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:18 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:26 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:34 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:42 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:51 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:33:59 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:07 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:16 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:24 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:33 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:41 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:49 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:34:57 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:35:05 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:35:13 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:35:22 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:35:30 - INFO - __main__ -   ************ Loading Data ***************
03/26/2025 04:35:38 - INFO - __main__ -   ************ Loading Data ***************
